wallet_id,ts,event_type,token,amount,bonus_id,tx_hash
w00043,2025-08-02T01:46:27Z,payout,USDC,24.52,,0x9057743cf1684614bf16da039d91a9dd
w00043,2025-08-02T03:48:27Z,wager,USDC,30.98,,0xe444fded5aec45e4a520e9942f4bdb83
w00043,2025-08-02T04:11:27Z,payout,USDC,15.71,,0x9ae63ba88c864838bfca7bf2d0c6e817
w00267,2025-08-02T04:43:03Z,deposit,USDC,96.59,,0x9825e99a02d148a489beb773fba94f49
w00385,2025-08-02T05:37:19Z,deposit,USDC,102.06,,0x9ba35a8e10d541b888cd1b7656702e47
w00061,2025-08-02T06:23:55Z,deposit,USDC,53.99,,0x15bfb7f5cc9a4055b778039932afbd67
w00110,2025-08-02T07:34:42Z,deposit,USDC,89.0,,0xcbdb8bc7ec2a40809ebb68c797622ce9
w00069,2025-08-02T08:36:14Z,deposit,USDC,67.9,,0xf210d3305902451d89c3ff9b2fcdb54c
w00110,2025-08-02T08:38:42Z,wager,USDT,71.53,,0x1a23664786d94656a19007812c79ac70
w00110,2025-08-02T09:04:42Z,payout,USDT,58.82,,0x11fec66400cb49e888b936ec08945384
w00110,2025-08-02T09:47:42Z,wager,USDT,54.93,,0x52a7288c3f5e4641b9b62bd030ca77d7
w00110,2025-08-02T10:16:42Z,payout,USDT,47.9,,0xef9eb233156e49d9a4edb12f1dfef94b
w00061,2025-08-02T12:15:55Z,wager,USDC,21.14,,0x9fa58651104b49ffbb6e78f426fe10e1
w00069,2025-08-02T12:18:14Z,wager,USDT,99.74,,0xdf7627c5e69e4202b7ed1bbe3c7468e9
w00069,2025-08-02T12:57:14Z,wager,USDT,49.42,,0x4a229564bceb4c8996294641c7fe78b5
w00069,2025-08-02T13:09:14Z,payout,USDT,34.37,,0xf8d794bd101b4c0985ba7789ad7c25ee
w00145,2025-08-02T14:10:51Z,deposit,USDC,111.08,,0x48757de6f59b43f7954bedd2af59965b
w00061,2025-08-02T14:59:55Z,wager,USDC,37.12,,0xa231a2050e9641ac94dfdcc2c3f68c96
w00061,2025-08-02T15:07:55Z,payout,USDC,21.52,,0x47366340093a472faf2da6dd5d0781c4
w00069,2025-08-02T15:18:14Z,wager,USDC,24.24,,0x6bf386c287b04b9a91dbd04487c20608
w00069,2025-08-02T15:19:14Z,wager,USDC,33.98,,0x4d526d381e0a45ec82d8847074b46d02
w00069,2025-08-02T15:46:14Z,payout,USDC,27.4,,0xf4b467e30a0240e3a61ec459632f6f33
w00069,2025-08-02T15:47:14Z,payout,USDC,16.54,,0xac4f72becd9f4153bcaa00d7c1b22489
w00061,2025-08-02T15:47:55Z,bonus,USDC,16.37,B838,0x627b1ee8d68d4e2e992791724c1e76f9
w00124,2025-08-02T16:01:24Z,deposit,USDC,80.84,,0xaff40a02ec974892825b05eb7fb6ce61
w00061,2025-08-02T16:38:55Z,wager,USDT,25.66,,0x0cdafd499ece408ca9a6cc87af98ab0a
w00061,2025-08-02T16:55:55Z,payout,USDT,17.59,,0x9891d99dd4a04f92a75f6913ef21d695
w00145,2025-08-02T17:54:51Z,wager,USDC,38.67,,0x431286e6c67c4048a3619e290c21c02f
w00086,2025-08-02T18:06:38Z,deposit,USDC,55.88,,0x305415a339c148908a33a5ef084ed6f5
w00061,2025-08-02T19:09:55Z,wager,USDC,38.26,,0xbaf41e479b614f0fb5889987320b0a98
w00061,2025-08-02T19:13:55Z,payout,USDC,35.15,,0xa345cdeeb5d54e8283bac6b463c5cbf9
w00061,2025-08-02T19:21:55Z,bonus,USDC,9.77,B794,0xb226b3c81d1a4c8abcfcb12431cfec45
w00061,2025-08-02T19:32:55Z,wager,USDT,9.31,,0x8e9a0ef47d4f468dbfec9073ff9661c1
w00061,2025-08-02T19:40:55Z,payout,USDT,7.82,,0x84d1cac7b8624d1eb025d1e2dea46eb8
w00061,2025-08-02T19:51:55Z,bonus,USDT,12.55,B980,0x1f38c03c3eca44db81b646061937a78f
w00086,2025-08-02T20:22:38Z,wager,USDC,11.72,,0x6111d713a40d46d3a41f98db42168684
w00086,2025-08-02T20:47:38Z,payout,USDC,7.56,,0xb1b213f388304e1bb65c77c1f3a94af0
w00124,2025-08-02T21:48:24Z,wager,USDC,41.48,,0xff2a91fc8870468083fa45ff1efe8867
w00124,2025-08-02T22:14:24Z,payout,USDC,36.54,,0x4c7441a7aae7469da4d26743e8de8c95
w00124,2025-08-02T23:37:24Z,wager,USDC,9.36,,0x025295c2e3354e909718714c222aa77e
w00124,2025-08-02T23:45:24Z,payout,USDC,5.33,,0xf85cd007293e4eed8e2a7de4260d140d
w00086,2025-08-03T00:21:38Z,wager,USDT,38.87,,0x513cbec1e92948efba031fcebbbeaf56
w00086,2025-08-03T01:08:38Z,bonus,USDT,15.23,B206,0x2f78d12e47cf480694c083204a5bd6c1
w00086,2025-08-03T01:22:38Z,wager,USDC,63.01,,0xaeb92519ca95455492edf1329e5285a3
w00086,2025-08-03T01:25:38Z,payout,USDC,31.58,,0x7f8b3fdbd5d543e78d31a3b744a549df
w00124,2025-08-03T02:58:24Z,wager,USDC,21.19,,0xedb3b585cc3b4dc1b35a292ccde191bc
w00124,2025-08-03T03:38:24Z,wager,USDT,32.13,,0x7a88467754554ba7b06fa7ffb8c5f726
w00124,2025-08-03T04:02:24Z,payout,USDT,26.59,,0x7f2c00c330b242689b141c72537082fc
w00086,2025-08-03T04:22:38Z,wager,USDT,41.68,,0x2650628accbc4560b7caecb293d5896e
w00086,2025-08-03T04:45:38Z,payout,USDT,24.77,,0x5648b8d61cf24de094501c045e95d3a3
w00086,2025-08-03T07:56:38Z,wager,USDT,46.07,,0x0c243892a76c43d68abaa80ef1aa8561
w00086,2025-08-03T08:23:38Z,payout,USDT,27.93,,0x45e6cc91daef4a0c9a170a08fe54d029
w00086,2025-08-03T09:45:38Z,wager,USDT,17.49,,0x9937fb9e4e974ec7ab7aa3586d4ca758
w00086,2025-08-03T10:11:38Z,payout,USDT,9.24,,0x20c62c85e99048e383a375325571ef53
w00304,2025-08-03T10:36:40Z,deposit,USDC,32.46,,0x9db9f47e70fd4ecbbe6de9b5681f6eb2
w00304,2025-08-03T13:31:40Z,wager,USDT,8.65,,0xe94af0eb0b24423eb62c08877219aea3
w00304,2025-08-03T13:44:40Z,payout,USDT,6.46,,0xafc04f19409947a2bd58557ac843d020
w00326,2025-08-03T16:03:25Z,deposit,USDC,120.82,,0xf03e322083274a6ca729de989699e6f2
w00304,2025-08-03T16:19:40Z,wager,USDC,7.2,,0xcb21b085f5fa481d9d2d46282882ac6e
w00350,2025-08-03T16:21:43Z,deposit,USDC,112.68,,0xc207c452c3aa4e1b916720849a089146
w00189,2025-08-03T17:08:18Z,deposit,USDT,135.95,,0xb4019112369f4f6b8872b2bdbc6ec71f
w00304,2025-08-03T18:44:40Z,wager,USDC,31.48,,0x62e6b35add7c4465a3c682d1be083f63
w00304,2025-08-03T18:53:40Z,payout,USDC,22.83,,0x058f9b15eeea46c58ffe22000846db29
w00220,2025-08-03T19:33:32Z,deposit,USDC,27.57,,0x4d83ab6aa8734ca09a7d530ae5552bff
w00304,2025-08-03T19:50:40Z,wager,USDT,24.64,,0xedc449744a6e4a50a5ecaa40f95d9bea
w00304,2025-08-03T20:02:40Z,payout,USDT,13.13,,0xc93e745fa01847ecb75e3d582a255cc4
w00189,2025-08-03T20:40:18Z,wager,USDC,84.47,,0xe951615e5b5148ad9af340e767264bea
w00189,2025-08-03T21:08:18Z,payout,USDC,57.09,,0x159ad313777a471db5a1c087d61b2d90
w00220,2025-08-03T22:02:32Z,wager,USDT,19.32,,0x37e44a24176649ebb28712bc5aa488a8
w00220,2025-08-03T22:18:32Z,payout,USDT,13.97,,0x2c663b62e4c145708572d649918802db
w00304,2025-08-03T22:54:40Z,wager,USDC,8.74,,0xf7519f66bc7b4ed6bf7514ec9828632e
w00189,2025-08-03T23:06:18Z,wager,USDT,43.25,,0xd62a05c9b9484b5c8caab512dfe361d1
w00304,2025-08-03T23:21:40Z,payout,USDC,5.53,,0x0e7c68c63b69466d9dee542b264c8fd4
w00220,2025-08-04T00:02:32Z,wager,USDC,21.5,,0x39a52eaa0a944e9fba1e2781bfc19168
w00189,2025-08-04T00:13:18Z,wager,USDC,9.16,,0xd823c1acbf104e24bb03a331ce4ba0ab
w00220,2025-08-04T00:14:32Z,wager,USDT,33.55,,0x2563d272d3364f148f961a30e658ebbd
w00220,2025-08-04T00:27:32Z,payout,USDC,20.35,,0x7d296b7f3c6c42f4b7ac110c165a5744
w00220,2025-08-04T00:31:32Z,payout,USDT,30.65,,0xa42b2b4195244b3aa3a4e8dd0abd7458
w00189,2025-08-04T00:41:18Z,payout,USDC,6.4,,0xdcdfd8cf95c344399d5d838a7ac43820
w00304,2025-08-04T02:29:40Z,wager,USDC,22.3,,0xfa895e9123524a39a319ebd7b5c6a68b
w00220,2025-08-04T02:43:32Z,wager,USDT,32.66,,0x8f5792399ea24522b6a44f5b091ac1a4
w00304,2025-08-04T02:57:40Z,bonus,USDC,10.32,B729,0x39064459093d48ad87b9af2161971dd4
w00304,2025-08-04T02:58:40Z,payout,USDC,20.47,,0x5c6cea296207485a93d2774bd7b8557b
w00220,2025-08-04T03:03:32Z,payout,USDT,27.43,,0x0970ce95e75941968f1597f76ff458bd
w00356,2025-08-04T03:27:19Z,deposit,USDT,58.25,,0xc03862fe555e4f07bcdacfbde2d99868
w00282,2025-08-04T03:47:53Z,deposit,USDT,103.95,,0x03aec4212a404300bb9cda6add584696
w00135,2025-08-04T06:01:36Z,deposit,USDC,19.62,,0x0cacc6808d334af08fa6964fd991ba32
w00356,2025-08-04T06:03:19Z,wager,USDC,10.57,,0xd618e538b4db4a9892ded195a6b1054a
w00356,2025-08-04T06:15:19Z,wager,USDC,43.7,,0xb32e12e59b2148bb99ca892cf33257b2
w00356,2025-08-04T06:19:19Z,payout,USDC,5.53,,0x530e55d121ba47598bd8a7a5a327d0d7
w00356,2025-08-04T06:25:19Z,payout,USDC,27.51,,0xf41399a184f74e1585be744c00049098
w00220,2025-08-04T06:27:32Z,wager,USDT,10.96,,0x6c28352873e547ba9149ea6f0b763bc3
w00120,2025-08-04T06:42:02Z,deposit,USDT,113.86,,0x989bbb6a1401426196bfbacf0c264c7a
w00220,2025-08-04T06:48:32Z,payout,USDT,6.36,,0x9739ff7d779d4fba94faf32ff984d421
w00282,2025-08-04T07:53:53Z,wager,USDC,36.37,,0x2de401a2123b49cb9224d97bb0b3b0df
w00135,2025-08-04T08:03:36Z,wager,USDT,45.18,,0xea11df4e01da457f8d8bd7a5d9504b73
w00135,2025-08-04T08:04:36Z,payout,USDT,31.98,,0x58bc1fa0cc0745cf90c0cae9a751abd7
w00282,2025-08-04T08:15:53Z,payout,USDC,22.4,,0x60680d13ed8649b783ec8496dc5b5874
w00356,2025-08-04T08:29:19Z,wager,USDC,20.98,,0xd65e17ac9e78432199c5899788c7d720
w00356,2025-08-04T08:53:19Z,payout,USDC,13.64,,0x624b89b76a7c4233a80501b6d9a1a884
w00220,2025-08-04T08:57:32Z,wager,USDT,31.94,,0x63a7b46b8b684b73bedac9dbc94b8504
w00220,2025-08-04T09:18:32Z,payout,USDT,30.12,,0xbc562281131f4ff8a0865e22bf463979
w00282,2025-08-04T10:34:53Z,wager,USDC,48.09,,0x446f2e749e5b4584837295f214f561bb
w00282,2025-08-04T10:51:53Z,payout,USDC,33.92,,0x5fbb8ed966ba43c8bb47b39103d92ce3
w00356,2025-08-04T11:05:19Z,wager,USDT,11.07,,0x06f2a2f6b0f142a08990ef7a13ac1ebb
w00135,2025-08-04T11:50:36Z,wager,USDC,44.67,,0xdc3071dd2a5e49598e79f914e8176443
w00135,2025-08-04T12:03:36Z,payout,USDC,23.74,,0xe3224ef7cdb445d4b7c76976cdcaa900
w00356,2025-08-04T12:04:19Z,wager,USDC,16.78,,0xe3dd90e25233495e92865328508da836
w00356,2025-08-04T12:21:19Z,payout,USDC,11.08,,0x424b9a9db50241b181367ac39cf3b26c
w00135,2025-08-04T12:42:36Z,bonus,USDC,12.01,B576,0xea5b5856006e46389fb2697e0f8d6260
w00216,2025-08-04T13:23:37Z,deposit,USDT,58.61,,0x5d4742ecb75744399ce0222fb24550bb
w00342,2025-08-04T13:28:01Z,deposit,USDT,60.18,,0xbedf52eb646c4907a13d8b08dae3f147
w00356,2025-08-04T13:56:19Z,wager,USDT,24.38,,0x51d68d6dd5da49d5827031646c153d77
w00356,2025-08-04T14:17:19Z,payout,USDT,15.85,,0xc9ffc8c69c3341ffab86c06700ea210c
w00282,2025-08-04T14:23:53Z,wager,USDC,11.66,,0x82fb2f31b74649e4b70dd1bdc634875d
w00356,2025-08-04T14:43:19Z,payout,USDT,13.45,,0x9140897f24fb4504a6b57c1957a1806f
w00356,2025-08-04T14:43:19Z,wager,USDT,20.03,,0x709359d47ee2480caf0f021923a79a79
w00356,2025-08-04T14:49:19Z,bonus,USDT,17.83,B793,0x9f7a809dd0554d1387ceae93cdaf469b
w00282,2025-08-04T14:50:53Z,payout,USDC,6.47,,0x411cbee86ec840368bc9408d66d3c7ea
w00282,2025-08-04T15:39:53Z,wager,USDC,51.62,,0x2e09294c3405479da49801c91e5e1d99
w00135,2025-08-04T15:46:36Z,wager,USDC,28.02,,0x306b60c3b26d4f1da8015d5a0a90ee34
w00282,2025-08-04T15:53:53Z,payout,USDC,27.67,,0x16cb2165b7d14c3caafa496df6c4feea
w00216,2025-08-04T15:54:37Z,wager,USDC,20.64,,0xba664241b3254ce28db16df268dbba7d
w00216,2025-08-04T16:02:37Z,payout,USDC,14.74,,0xe6af91e030754efc92ccfa7a389d2fbf
w00135,2025-08-04T16:09:36Z,payout,USDC,21.92,,0xec0cc7e1e5ac46cebaeccec7319b7fc0
w00216,2025-08-04T16:15:37Z,wager,USDC,39.95,,0x3208a415257f4efaa6d478b04dda1232
w00282,2025-08-04T16:20:53Z,wager,USDC,29.36,,0x26c249e447464a8da1a6da6db9acbf49
w00216,2025-08-04T16:31:37Z,payout,USDC,37.17,,0xb6fa147a0a024633a3f2712689593e05
w00216,2025-08-04T16:35:37Z,bonus,USDC,17.28,B521,0x27a7bf1b57154b5b81ce8dae4b765363
w00282,2025-08-04T16:48:53Z,payout,USDC,27.12,,0x671948eb535a49d58e14084c0812491f
w00216,2025-08-04T17:15:37Z,wager,USDC,60.32,,0x919e267af73c4053a27aaeb5a0670d2a
w00216,2025-08-04T17:15:37Z,payout,USDC,32.23,,0x020d7f38f686473fbb44eccd8114bf2f
w00216,2025-08-04T17:25:37Z,wager,USDC,12.37,,0xb4bbab306c424ac48a741db675d7af68
w00216,2025-08-04T17:35:37Z,bonus,USDC,20.62,B383,0x3d0a89a8278b4111a240b9f20bffb85c
w00282,2025-08-04T17:35:53Z,wager,USDT,12.64,,0x946817e302ce4db98535c761607c2666
w00282,2025-08-04T17:48:53Z,payout,USDT,9.73,,0xeee97cf7ed54482c801de2c085d702c5
w00216,2025-08-04T17:52:37Z,payout,USDC,11.36,,0x77136cbc205540aaa5256d01dd5130bd
w00103,2025-08-04T17:53:05Z,deposit,USDC,101.69,,0xc775cdda18eb466898219f9df62aefd3
w00135,2025-08-04T18:24:36Z,wager,USDT,16.87,,0x9bd3df98faa14a8f9a1abdce38b8ee6d
w00135,2025-08-04T18:30:36Z,payout,USDT,11.61,,0xadbeaf32dd004520848a225b3723d847
w00342,2025-08-04T18:34:01Z,wager,USDC,9.82,,0xfcb9ad072de642a8a9c6472e9c13f14a
w00342,2025-08-04T18:49:01Z,payout,USDC,6.04,,0xb9af537c817a4acab3f0f6dfac3fd11f
w00103,2025-08-04T19:13:05Z,wager,USDC,18.99,,0x755173cd7dc842428a4f0bf981c5545e
w00103,2025-08-04T19:20:05Z,bonus,USDC,5.96,B448,0x24aa95c9490645eb9dcfddde64706134
w00103,2025-08-04T19:24:05Z,wager,USDC,11.37,,0x7a172a8b9f2f416fafa1570582ff103e
w00103,2025-08-04T19:34:05Z,payout,USDC,15.83,,0x30a3a677be554d67943d8ea534e512d4
w00216,2025-08-04T20:59:37Z,wager,USDT,4.94,,0x1c25ab307072452bb2e8ec50dc77b18e
w00342,2025-08-04T21:01:01Z,wager,USDT,26.88,,0xa9e6312976d44281ba16cf34f6f9ce70
w00216,2025-08-04T21:13:37Z,payout,USDT,3.89,,0x881972c547d9453ab0820bc7cab217f7
w00342,2025-08-04T21:14:01Z,payout,USDT,20.62,,0xe4a0065d18564685a48a3877fdd46c85
w00216,2025-08-04T23:24:37Z,wager,USDC,25.33,,0xe0c1a65ed99845aa8135391b96324d12
w00216,2025-08-04T23:47:37Z,payout,USDC,13.42,,0xb64a929bb23946e68a5cc88763e838b1
w00166,2025-08-05T03:13:08Z,deposit,USDT,84.28,,0xb0c799f5498b4db9a39b49e1a701a67e
w00238,2025-08-05T03:32:11Z,deposit,USDT,71.4,,0x36d78339832c45a99a740c8bc005a809
w00166,2025-08-05T04:48:08Z,wager,USDT,16.45,,0x449b7e98cd7246bcb8fac1fbe2795f83
w00166,2025-08-05T04:52:08Z,payout,USDT,14.58,,0xdd017ccdb64a4dcaa38dea63fec35b4c
w00038,2025-08-05T06:44:03Z,deposit,USDC,58.48,,0xcfd384f3021842579e9295188e0f14c1
w00238,2025-08-05T07:27:11Z,wager,USDC,132.9,,0x65fcb7743de84b879e7ae72f29164c1b
w00238,2025-08-05T07:40:11Z,payout,USDC,90.96,,0xec3e1a1c8e9f4b98b05e24b0eca2d5f7
w00238,2025-08-05T08:57:11Z,wager,USDC,49.16,,0xd19c3d8a6a77472e826ec45cb512a38a
w00238,2025-08-05T09:21:11Z,payout,USDC,37.58,,0xe3a4439fedeb430e897bd91b6bfdc53e
w00238,2025-08-05T09:58:11Z,wager,USDT,50.05,,0x3670d53c03ee4cb3a0f7834c1c89d2c0
w00238,2025-08-05T10:00:11Z,payout,USDT,47.09,,0x77ba7a2ce3c1457c89eb037eacc956dd
w00238,2025-08-05T11:19:11Z,wager,USDC,18.74,,0x669146bf22fb461bb38cb352be35ef49
w00238,2025-08-05T12:11:11Z,bonus,USDC,23.59,B662,0x8295d7b15da14b329bae6e3e762fcd4a
w00238,2025-08-05T13:46:11Z,wager,USDT,46.53,,0x3e174781224f41e282e775e5d955ee82
w00238,2025-08-05T13:59:11Z,payout,USDT,28.69,,0x609ba845edaf45bd8cc0190093ae72f5
w00238,2025-08-05T14:50:11Z,wager,USDC,18.02,,0x480c14b8fde84097bc129577723bf718
w00238,2025-08-05T15:06:11Z,payout,USDC,10.52,,0xef06c67e89ab477195354eee501a98c5
w00238,2025-08-05T17:19:11Z,wager,USDC,10.91,,0xdfdd4cbc2f20418b9a58906f43ab6cd2
w00238,2025-08-05T17:23:11Z,payout,USDC,7.7,,0x2a69de88211946258cfbc0cb64dee0b3
w00146,2025-08-06T01:26:47Z,deposit,USDT,86.39,,0x1c9e28dfed2b4922a93cf5711fe26f8e
w00146,2025-08-06T03:47:47Z,wager,USDT,17.45,,0x132b9f7b90d545f98ec0abd7ba5a64e7
w00146,2025-08-06T06:25:47Z,wager,USDT,20.92,,0x8b4fba62252c41849915cd080075c9ce
w00146,2025-08-06T06:42:47Z,payout,USDT,19.01,,0x590ce896edec41ed9ab6831b18d12009
w00146,2025-08-06T08:05:47Z,wager,USDT,15.13,,0x6d38eb8a7ebc459f909eee45852ac721
w00146,2025-08-06T08:17:47Z,payout,USDT,11.35,,0x80300f960e0b4ceeb760d7c5f50547a3
w00109,2025-08-06T09:08:32Z,deposit,USDT,90.11,,0xc082656a8d6241cc9943782ae5508227
w00146,2025-08-06T11:49:47Z,wager,USDT,23.15,,0x5d0ba4e481584033a8ea0713e59c2ae6
w00144,2025-08-06T12:02:24Z,deposit,USDC,82.67,,0x2ff62eb6b6994c7fa2651a66f2177a5f
w00146,2025-08-06T12:15:47Z,payout,USDT,12.45,,0xe41c4dc766394a20a2b51d8ba9734ec7
w00109,2025-08-06T13:02:32Z,wager,USDT,56.05,,0x87b3b7af1a0e46cc802f80d3fb97c637
w00109,2025-08-06T13:14:32Z,payout,USDT,37.58,,0x158fd750d252471ba6fd0a63c2536e09
w00144,2025-08-06T15:41:24Z,wager,USDT,22.99,,0x04cc1b74c0be43d6a1c9d72fe7cc045d
w00144,2025-08-06T15:45:24Z,bonus,USDT,7.19,B895,0x02beac3581e8431ea89549508ea496ba
w00003,2025-08-06T16:06:25Z,deposit,USDC,68.78,,0x02cb32e92d824623b303ffc38dd5d736
w00144,2025-08-06T16:08:24Z,payout,USDT,12.33,,0x0da66fde62c248508122650d4fa1a9f0
w00109,2025-08-06T16:38:32Z,wager,USDC,18.97,,0x52acb78fb201444f8ab5a0517a3a3e7c
w00109,2025-08-06T16:52:32Z,payout,USDC,14.64,,0xd1eab42fa07b424a96cf390adff02ec6
w00109,2025-08-06T17:25:32Z,wager,USDT,19.87,,0x61ec434fc5b84b06b3d4b7f68ff402d0
w00109,2025-08-06T17:37:32Z,payout,USDT,13.59,,0x63084f3b18de4805858fff6e05ea1795
w00235,2025-08-06T17:38:41Z,deposit,USDT,114.56,,0x2140fd1acca749538ab7e205541fc3cf
w00367,2025-08-06T18:21:51Z,deposit,USDC,63.41,,0x5ce4ca7aebb1400d99b8add3f8f0a73d
w00261,2025-08-06T18:38:18Z,deposit,USDT,84.64,,0x2c74e59ebb2c493ead26267744b42852
w00029,2025-08-06T18:41:38Z,deposit,USDC,150.92,,0xd570b64d778c40a2a18e976452dade40
w00144,2025-08-06T19:06:24Z,wager,USDC,29.12,,0xfb00b1bb6011452b9d46ea02a9e4aaad
w00003,2025-08-06T20:50:25Z,wager,USDC,12.45,,0xf80de9fa10c042d689045f67c28f5b52
w00003,2025-08-06T21:00:25Z,payout,USDC,6.79,,0xcc8944386b624ec49fa5a88002751d57
w00003,2025-08-06T22:18:25Z,wager,USDT,33.89,,0xa29ee7c105904cf497b7570e1f724137
w00003,2025-08-06T22:25:25Z,payout,USDT,22.03,,0xa4b10c76812544f9bc79c2d8319e8e86
w00128,2025-08-06T22:36:55Z,deposit,USDC,108.2,,0x8ebc3567fcd5451ead9ef3cbacac0333
w00003,2025-08-06T22:39:25Z,wager,USDT,18.05,,0x48bfce50326246369d31f0dab0ff4188
w00144,2025-08-06T22:50:24Z,wager,USDT,26.8,,0xd85ab80ae5ce45aea767f67eb714636a
w00367,2025-08-06T23:03:51Z,wager,USDC,38.47,,0xb182e16b39a64de786b925fa38fd63a4
w00003,2025-08-06T23:04:25Z,payout,USDT,14.04,,0xacda984b51f2428c882a06fdfdefd99d
w00029,2025-08-06T23:04:38Z,wager,USDT,57.17,,0xf20ba91432c34506952821992a692e1c
w00144,2025-08-06T23:08:24Z,payout,USDT,19.62,,0x8ccfcb2d1bed4cdabdaf7eab6e13e867
w00003,2025-08-06T23:10:25Z,bonus,USDT,19.16,B761,0xd8f38bb2f36e4fe2aaceabacd38b68ef
w00029,2025-08-06T23:26:38Z,payout,USDT,53.94,,0x04e7c0ce5ae040a1996c6627490509cd
w00128,2025-08-06T23:51:55Z,wager,USDT,83.17,,0xd01655be581041f4ad6fe1375fc795a4
w00128,2025-08-06T23:55:55Z,payout,USDT,72.24,,0x1b5418fa078a414c8e49ea648db0a54c
w00367,2025-08-07T00:06:51Z,wager,USDC,37.73,,0x03270d86d7574e45aaa68e163e8b579d
w00367,2025-08-07T00:19:51Z,payout,USDC,28.11,,0x9a69c831472a4dbfb2ab771c90e70b86
w00029,2025-08-07T01:07:38Z,wager,USDC,60.34,,0x03287958119245a799c02ca25ee7a77c
w00029,2025-08-07T01:12:38Z,payout,USDC,36.75,,0x5370294cc2c84dd1ba6c361103a611ea
w00029,2025-08-07T01:40:38Z,bonus,USDC,12.36,B983,0x19b9d06b51654b2d9855d48c109d630e
w00144,2025-08-07T01:56:24Z,wager,USDC,62.29,,0xd3740172dd8647a4ba29a8151519d084
w00144,2025-08-07T02:03:24Z,payout,USDC,47.16,,0x0fe8a7f0255342bb8feb90e27af3e2a7
w00029,2025-08-07T04:25:38Z,wager,USDC,45.89,,0x01c842d61f8f449db33a27ffed760381
w00144,2025-08-07T05:53:24Z,wager,USDC,43.7,,0xa380aa680c1040608282da04434795a6
w00144,2025-08-07T06:16:24Z,payout,USDC,36.28,,0xd8105668ce6f443e9ceea460b440408b
w00029,2025-08-07T06:49:38Z,wager,USDT,63.6,,0xc67d37d58a8b463fa583586d4db00b8d
w00144,2025-08-07T08:20:24Z,wager,USDT,98.76,,0xfac3a1c9203448718aaed7580cb61265
w00029,2025-08-07T08:26:38Z,wager,USDT,20.64,,0xc0ef2d35ffef470db6f9d8bee6845bd1
w00144,2025-08-07T08:47:24Z,payout,USDT,87.96,,0x324236e3e0f54a718c4ea414439e5387
w00029,2025-08-07T08:52:38Z,payout,USDT,11.72,,0xe3cc810527814a8ca891464eb874ae0d
w00032,2025-08-07T09:14:18Z,deposit,USDC,117.12,,0x170aea52558645748f24b3f6d29c322e
w00032,2025-08-07T11:26:18Z,wager,USDT,31.31,,0x9c97d2b810af4cb38ce19519ddee3fef
w00032,2025-08-07T11:53:18Z,payout,USDT,19.29,,0x7bbaa4b56cc24b4a9094d9bb12772800
w00357,2025-08-07T22:29:50Z,deposit,USDT,67.92,,0x75498bb902be4b5f961f64db55e3a802
w00357,2025-08-08T00:51:50Z,wager,USDC,21.08,,0x31fbf8b0c27445aaa21ec2a066c59cde
